127.0.0.1 - - [30/Oct/2023:13:36:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:45 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:45 +0900] "GET /Chatproject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:45 +0900] "GET /Chatproject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:45 +0900] "GET /Chatproject/img/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:45 +0900] "GET /Chatproject/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /Chatproject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /Chatproject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /Chatproject/img/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /Chatproject/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:36:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:48:24 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:30 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:30 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:32 +0900] "GET /Chatproject/chat.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:36 +0900] "GET /Chatproject/logoutAction.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:36 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:38 +0900] "GET /Chatproject/chat.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:40 +0900] "GET /Chatproject/logoutAction.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:40 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:44 +0900] "GET /Chatproject/chat.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:50 +0900] "GET /Chatproject/logoutAction.jsp HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:50:50 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:31 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:31 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:31 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:31 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:31 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:32 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:32 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:32 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:32 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:32 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:33 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:35 +0900] "GET /Chatproject/chat.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:54:38 +0900] "GET /Chatproject/logoutAction.jsp HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:56:00 +0900] "GET /Chatproject/logoutAction.jsp HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:56:00 +0900] "GET /Chatproject/Login.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [30/Oct/2023:13:56:02 +0900] "GET /Chatproject/chat.jsp HTTP/1.1" 200 845
